开始时间,持续时间,事件大类,事件类别,内容类型,事件内容,备注,Tag,状态
2022-03-05 16:45,15,未分类,打游戏,未分类,,,,已完成
2022-03-05 17:00,60,未分类,碎片时间,未分类,,,,已完成
2022-03-05 18:00,15,未分类,打游戏,未分类,,,,已完成
2022-03-05 18:15,45,未分类,家务事,未分类,,,,已完成
2022-03-05 19:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-05 19:30,60,未分类,家务事,未分类,,,,已完成
2022-03-05 20:30,60,未分类,打游戏,未分类,,,,已完成
2022-03-05 21:30,60,未分类,摸鱼,未分类,,,,已完成
2022-03-05 22:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-05 23:00,75,未分类,摸鱼,未分类,,,,已完成
2022-03-06 00:15,465,未分类,休息,未分类,,,,已完成
2022-03-06 08:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-06 08:15,30,未分类,学习,未分类,,,,已完成
2022-03-06 08:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-06 09:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-06 09:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-06 09:45,15,未分类,代码,未分类,,,,已完成
2022-03-06 10:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-06 10:15,30,未分类,代码,未分类,,,,已完成
2022-03-06 10:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-06 11:15,30,未分类,家务事,未分类,,,,已完成
2022-03-06 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-06 12:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-06 12:30,15,未分类,代码,未分类,,,,已完成
2022-03-06 12:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-06 13:00,45,未分类,代码,未分类,,,,已完成
2022-03-06 13:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-06 14:00,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-06 14:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-06 14:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-06 15:15,60,未分类,隐私相关1,未分类,,,,已完成
2022-03-06 16:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-06 16:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-06 16:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-06 17:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-06 17:45,60,未分类,家务事,未分类,,,,已完成
2022-03-06 18:45,90,未分类,碎片时间,未分类,,,,已完成
2022-03-06 20:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-06 20:30,60,未分类,打游戏,未分类,,,,已完成
2022-03-06 21:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-06 22:00,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-06 22:30,15,未分类,代码,未分类,,,,已完成
2022-03-06 22:45,105,未分类,摸鱼,未分类,,,,已完成
2022-03-07 00:30,465,未分类,休息,未分类,,,,已完成
2022-03-07 08:15,60,未分类,摸鱼,未分类,,,,已完成
2022-03-07 09:15,30,未分类,打游戏,未分类,,,,已完成
2022-03-07 09:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-07 10:00,45,未分类,代码,未分类,,,,已完成
2022-03-07 10:45,75,未分类,摸鱼,未分类,,,,已完成
2022-03-07 12:00,30,未分类,家务事,未分类,,,,已完成
2022-03-07 12:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-07 12:45,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-07 13:15,30,未分类,打游戏,未分类,,,,已完成
2022-03-07 13:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-07 14:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-07 14:15,45,未分类,业余爱好,未分类,,,,已完成
2022-03-07 15:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-07 15:15,45,未分类,打游戏,未分类,,,,已完成
2022-03-07 16:00,135,未分类,摸鱼,未分类,,,,已完成
2022-03-07 18:15,30,未分类,家务事,未分类,,,,已完成
2022-03-07 18:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-07 19:00,30,未分类,家务事,未分类,,,,已完成
2022-03-07 19:30,75,未分类,碎片时间,未分类,,,,已完成
2022-03-07 20:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-07 21:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-07 21:30,60,未分类,摸鱼,未分类,,,,已完成
2022-03-07 22:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-07 22:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-07 23:15,75,未分类,摸鱼,未分类,,,,已完成
2022-03-08 00:30,450,未分类,休息,未分类,,,,已完成
2022-03-08 08:00,60,未分类,摸鱼,未分类,,,,已完成
2022-03-08 09:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-08 09:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-08 10:00,105,未分类,碎片时间,未分类,,,,已完成
2022-03-08 11:45,45,未分类,家务事,未分类,,,,已完成
2022-03-08 12:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-08 13:00,45,未分类,打游戏,未分类,,,,已完成
2022-03-08 13:45,75,未分类,碎片时间,未分类,,,,已完成
2022-03-08 15:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-08 15:15,15,未分类,打游戏,未分类,,,,已完成
2022-03-08 15:30,15,未分类,锻炼,未分类,,,,已完成
2022-03-08 15:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-08 16:00,45,未分类,打游戏,未分类,,,,已完成
2022-03-08 16:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-08 17:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-08 17:45,30,未分类,家务事,未分类,,,,已完成
2022-03-08 18:15,60,未分类,碎片时间,未分类,,,,已完成
2022-03-08 19:15,30,未分类,打游戏,未分类,,,,已完成
2022-03-08 19:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-08 20:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-08 20:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-08 21:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-08 21:30,75,未分类,碎片时间,未分类,,,,已完成
2022-03-08 22:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-08 23:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-08 23:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-08 23:45,360,未分类,休息,未分类,,,,已完成
2022-03-09 05:45,75,未分类,摸鱼,未分类,,,,已完成
2022-03-09 07:00,15,未分类,休息,未分类,,,,已完成
2022-03-09 07:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 07:30,60,未分类,休息,未分类,,,,已完成
2022-03-09 08:30,60,未分类,摸鱼,未分类,,,,已完成
2022-03-09 09:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 09:45,30,未分类,开会,未分类,,,,已完成
2022-03-09 10:15,60,未分类,碎片时间,未分类,,,,已完成
2022-03-09 11:15,30,未分类,家务事,未分类,,,,已完成
2022-03-09 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 12:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-09 12:15,15,未分类,打游戏,未分类,,,,已完成
2022-03-09 12:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-09 13:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 13:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-09 13:30,15,未分类,开会,未分类,,,,已完成
2022-03-09 13:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-09 14:15,45,未分类,碎片时间,未分类,,,,已完成
2022-03-09 15:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-09 15:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 15:45,15,未分类,打游戏,未分类,,,,已完成
2022-03-09 16:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 16:15,15,未分类,打游戏,未分类,,,,已完成
2022-03-09 16:30,90,未分类,碎片时间,未分类,,,,已完成
2022-03-09 18:00,15,未分类,锻炼,未分类,,,,已完成
2022-03-09 18:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 18:30,15,未分类,家务事,未分类,,,,已完成
2022-03-09 18:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-09 19:00,15,未分类,家务事,未分类,,,,已完成
2022-03-09 19:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-09 19:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-09 20:00,90,未分类,打游戏,未分类,,,,已完成
2022-03-09 21:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-09 22:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-09 22:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-09 22:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-09 23:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-09 23:30,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-10 00:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-10 00:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-10 00:45,390,未分类,休息,未分类,,,,已完成
2022-03-10 07:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-10 07:45,105,未分类,休息,未分类,,,,已完成
2022-03-10 09:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-10 10:00,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-10 10:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-10 10:45,45,未分类,打游戏,未分类,,,,已完成
2022-03-10 11:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-10 12:15,15,未分类,家务事,未分类,,,,已完成
2022-03-10 12:30,45,未分类,打游戏,未分类,,,,已完成
2022-03-10 13:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-10 13:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-10 13:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-10 14:00,15,未分类,业余爱好,未分类,,,,已完成
2022-03-10 14:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-10 14:45,15,未分类,代码,未分类,,,,已完成
2022-03-10 15:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-10 15:15,30,未分类,代码,未分类,,,,已完成
2022-03-10 15:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-10 16:00,15,未分类,代码,未分类,,,,已完成
2022-03-10 16:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-10 16:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-10 16:45,30,未分类,代码,未分类,,,,已完成
2022-03-10 17:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-10 17:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-10 18:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-10 18:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-10 18:45,30,未分类,家务事,未分类,,,,已完成
2022-03-10 19:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-10 19:45,45,未分类,代码,未分类,,,,已完成
2022-03-10 20:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-10 20:45,15,未分类,代码,未分类,,,,已完成
2022-03-10 21:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-10 21:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-10 22:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-10 22:30,15,未分类,代码,未分类,,,,已完成
2022-03-10 22:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-10 23:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-10 23:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-11 00:15,435,未分类,休息,未分类,,,,已完成
2022-03-11 07:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-11 07:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-11 08:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-11 08:45,15,未分类,打游戏,未分类,,,,已完成
2022-03-11 09:00,240,未分类,碎片时间,未分类,,,,已完成
2022-03-11 13:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-11 13:30,30,未分类,休息,未分类,,,,已完成
2022-03-11 14:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-11 14:30,75,未分类,碎片时间,未分类,,,,已完成
2022-03-11 15:45,225,未分类,家务事,未分类,,,,已完成
2022-03-11 19:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-11 20:00,45,未分类,家务事,未分类,,,,已完成
2022-03-11 20:45,105,未分类,摸鱼,未分类,,,,已完成
2022-03-11 22:30,45,未分类,打游戏,未分类,,,,已完成
2022-03-11 23:15,105,未分类,摸鱼,未分类,,,,已完成
2022-03-12 01:00,495,未分类,休息,未分类,,,,已完成
2022-03-12 09:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-12 09:30,135,未分类,碎片时间,未分类,,,,已完成
2022-03-12 11:45,30,未分类,家务事,未分类,,,,已完成
2022-03-12 12:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-12 12:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-12 12:45,60,未分类,打游戏,未分类,,,,已完成
2022-03-12 13:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-12 14:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-12 14:45,60,未分类,摸鱼,未分类,,,,已完成
2022-03-12 15:45,105,未分类,碎片时间,未分类,,,,已完成
2022-03-12 17:30,30,未分类,家务事,未分类,,,,已完成
2022-03-12 18:00,60,未分类,碎片时间,未分类,,,,已完成
2022-03-12 19:00,90,未分类,摸鱼,未分类,,,,已完成
2022-03-12 20:30,15,未分类,代码,未分类,,,,已完成
2022-03-12 20:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-12 21:00,15,未分类,代码,未分类,,,,已完成
2022-03-12 21:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-12 21:30,15,未分类,代码,未分类,,,,已完成
2022-03-12 21:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-12 22:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-12 22:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-12 22:45,15,未分类,代码,未分类,,,,已完成
2022-03-12 23:00,60,未分类,摸鱼,未分类,,,,已完成
2022-03-13 00:00,195,未分类,休息,未分类,,,,已完成
2022-03-13 03:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-13 03:30,270,未分类,休息,未分类,,,,已完成
2022-03-13 08:00,60,未分类,摸鱼,未分类,,,,已完成
2022-03-13 09:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-13 09:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-13 09:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-13 10:00,45,未分类,代码,未分类,,,,已完成
2022-03-13 10:45,45,未分类,家务事,未分类,,,,已完成
2022-03-13 11:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-13 11:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-13 12:30,45,未分类,打游戏,未分类,,,,已完成
2022-03-13 13:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-13 13:30,15,未分类,学习,未分类,,,,已完成
2022-03-13 13:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-13 14:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-13 14:30,120,未分类,打游戏,未分类,,,,已完成
2022-03-13 16:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-13 17:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-13 17:15,45,未分类,家务事,未分类,,,,已完成
2022-03-13 18:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-13 18:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-13 19:00,225,未分类,碎片时间,未分类,,,,已完成
2022-03-13 22:45,105,未分类,摸鱼,未分类,,,,已完成
2022-03-14 00:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-14 00:45,405,未分类,休息,未分类,,,,已完成
2022-03-14 07:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-14 08:15,30,未分类,休息,未分类,,,,已完成
2022-03-14 08:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-14 09:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-14 09:30,15,未分类,构思,未分类,,,,已完成
2022-03-14 09:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-14 10:00,15,未分类,打游戏,未分类,,,,已完成
2022-03-14 10:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-14 10:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-14 10:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-14 11:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-14 11:15,30,未分类,家务事,未分类,,,,已完成
2022-03-14 11:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-14 12:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-14 12:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-14 13:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-14 13:30,75,未分类,摸鱼,未分类,,,,已完成
2022-03-14 14:45,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-14 15:00,60,未分类,摸鱼,未分类,,,,已完成
2022-03-14 16:00,30,未分类,代码,未分类,,,,已完成
2022-03-14 16:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-14 17:15,30,未分类,家务事,未分类,,,,已完成
2022-03-14 17:45,60,未分类,摸鱼,未分类,,,,已完成
2022-03-14 18:45,15,未分类,开会,未分类,,,,已完成
2022-03-14 19:00,45,未分类,摸鱼,未分类,,,,已完成
2022-03-14 19:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-14 20:15,120,未分类,打游戏,未分类,,,,已完成
2022-03-14 22:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-14 23:00,105,未分类,隐私相关1,未分类,,,,已完成
2022-03-15 00:45,420,未分类,休息,未分类,,,,已完成
2022-03-15 07:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-15 08:30,60,未分类,隐私相关1,未分类,,,,已完成
2022-03-15 09:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-15 10:00,60,未分类,碎片时间,未分类,,,,已完成
2022-03-15 11:00,45,未分类,家务事,未分类,,,,已完成
2022-03-15 11:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-15 12:15,75,未分类,打游戏,未分类,,,,已完成
2022-03-15 13:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 13:45,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-15 14:15,30,未分类,业余爱好,未分类,,,,已完成
2022-03-15 14:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 15:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-15 15:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 15:30,75,未分类,碎片时间,未分类,,,,已完成
2022-03-15 16:45,15,未分类,开会,未分类,,,,已完成
2022-03-15 17:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 17:15,60,未分类,打游戏,未分类,,,,已完成
2022-03-15 18:15,30,未分类,家务事,未分类,,,,已完成
2022-03-15 18:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-15 19:30,15,未分类,家务事,未分类,,,,已完成
2022-03-15 19:45,15,未分类,业余爱好,未分类,,,,已完成
2022-03-15 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 20:15,30,未分类,打游戏,未分类,,,,已完成
2022-03-15 20:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 21:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 21:15,75,未分类,打游戏,未分类,,,,已完成
2022-03-15 22:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 22:45,75,未分类,打游戏,未分类,,,,已完成
2022-03-16 00:00,45,未分类,摸鱼,未分类,,,,已完成
2022-03-16 00:45,15,未分类,业余爱好,未分类,,,,已完成
2022-03-16 01:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 01:30,390,未分类,休息,未分类,,,,已完成
2022-03-16 08:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 08:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 08:45,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-16 09:30,15,未分类,休息,未分类,,,,已完成
2022-03-16 09:45,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-16 10:00,45,未分类,摸鱼,未分类,,,,已完成
2022-03-16 10:45,15,未分类,代码,未分类,,,,已完成
2022-03-16 11:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 11:15,30,未分类,家务事,未分类,,,,已完成
2022-03-16 11:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-16 12:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-16 12:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-16 12:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-16 13:30,75,未分类,打游戏,未分类,,,,已完成
2022-03-16 14:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-16 15:00,60,未分类,代码,未分类,,,,已完成
2022-03-16 16:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 16:15,60,未分类,摸鱼,未分类,,,,已完成
2022-03-16 17:15,45,未分类,家务事,未分类,,,,已完成
2022-03-16 18:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 18:30,30,未分类,家务事,未分类,,,,已完成
2022-03-16 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 19:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-16 19:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-16 20:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 20:45,30,未分类,代码,未分类,,,,已完成
2022-03-16 21:15,90,未分类,碎片时间,未分类,,,,已完成
2022-03-16 22:45,165,未分类,摸鱼,未分类,,,,已完成
2022-03-17 01:30,375,未分类,休息,未分类,,,,已完成
2022-03-17 07:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-17 08:30,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-17 09:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-17 09:45,75,未分类,打游戏,未分类,,,,已完成
2022-03-17 11:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-17 11:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-17 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 12:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-17 12:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 12:30,45,未分类,打游戏,未分类,,,,已完成
2022-03-17 13:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-17 13:45,90,未分类,打游戏,未分类,,,,已完成
2022-03-17 15:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 15:30,15,未分类,代码,未分类,,,,已完成
2022-03-17 15:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-17 16:30,75,未分类,碎片时间,未分类,,,,已完成
2022-03-17 17:45,15,未分类,家务事,未分类,,,,已完成
2022-03-17 18:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-17 18:30,45,未分类,家务事,未分类,,,,已完成
2022-03-17 19:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 19:30,90,未分类,家务事,未分类,,,,已完成
2022-03-17 21:00,15,未分类,业余爱好,未分类,,,,已完成
2022-03-17 21:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 21:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-17 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 22:00,15,未分类,代码,未分类,,,,已完成
2022-03-17 22:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 22:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-17 23:15,150,未分类,碎片时间,未分类,,,,已完成
2022-03-18 01:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 02:00,405,未分类,休息,未分类,,,,已完成
2022-03-18 08:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-18 09:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 09:45,30,未分类,业余爱好,未分类,,,,已完成
2022-03-18 10:15,30,未分类,代码,未分类,,,,已完成
2022-03-18 10:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 11:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-18 11:30,30,未分类,家务事,未分类,,,,已完成
2022-03-18 12:00,45,未分类,摸鱼,未分类,,,,已完成
2022-03-18 12:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-18 13:15,45,未分类,业余爱好,未分类,,,,已完成
2022-03-18 14:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-18 14:30,135,未分类,打游戏,未分类,,,,已完成
2022-03-18 16:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 17:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-18 17:15,30,未分类,代码,未分类,,,,已完成
2022-03-18 17:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-18 18:15,45,未分类,家务事,未分类,,,,已完成
2022-03-18 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 19:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 19:30,30,未分类,家务事,未分类,,,,已完成
2022-03-18 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 20:15,90,未分类,打游戏,未分类,,,,已完成
2022-03-18 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 22:00,60,未分类,打游戏,未分类,,,,已完成
2022-03-18 23:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 23:15,60,未分类,隐私相关1,未分类,,,,已完成
2022-03-19 00:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-19 01:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-19 01:15,435,未分类,休息,未分类,,,,已完成
2022-03-19 08:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-19 09:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 09:15,60,未分类,家务事,未分类,,,,已完成
2022-03-19 10:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 10:30,30,未分类,代码,未分类,,,,已完成
2022-03-19 11:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-19 11:45,30,未分类,家务事,未分类,,,,已完成
2022-03-19 12:15,60,未分类,碎片时间,未分类,,,,已完成
2022-03-19 13:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-19 14:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-19 14:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-19 14:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 15:00,90,未分类,打游戏,未分类,,,,已完成
2022-03-19 16:30,15,未分类,家务事,未分类,,,,已完成
2022-03-19 16:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 17:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-19 17:30,45,未分类,家务事,未分类,,,,已完成
2022-03-19 18:15,30,未分类,打游戏,未分类,,,,已完成
2022-03-19 18:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 19:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-19 19:30,30,未分类,家务事,未分类,,,,已完成
2022-03-19 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-19 20:15,75,未分类,碎片时间,未分类,,,,已完成
2022-03-19 21:30,75,未分类,打游戏,未分类,,,,已完成
2022-03-19 22:45,15,未分类,碎片时间,未分类,,,,已完成
